dateTime,open,high,low,close,volume
1673906400000,21133.34000000,21224.12000000,21127.04000000,21196.57000000,3382.46830000
1673908200000,21198.21000000,21210.57000000,21142.06000000,21185.89000000,2401.86142000
1673910000000,21185.89000000,21227.00000000,21097.27000000,21211.51000000,3753.32135000
1673911800000,21211.51000000,21218.26000000,21151.47000000,21185.65000000,2403.98364000
1673913600000,21185.65000000,21299.04000000,21070.01000000,21220.08000000,8626.68241000
1673915400000,21220.08000000,21226.03000000,21064.56000000,21109.52000000,7837.78261000
1673917200000,21108.16000000,21146.13000000,20841.31000000,20993.69000000,10206.28846000
1673919000000,20992.49000000,21052.82000000,20980.77000000,21041.30000000,3723.93971000
1673920800000,21039.96000000,21064.56000000,20986.34000000,21038.85000000,3536.48983000
1673922600000,21038.85000000,21110.86000000,21033.56000000,21102.13000000,3245.11332000
1673924400000,21102.13000000,21130.76000000,21061.93000000,21092.00000000,2930.68141000
1673926200000,21091.98000000,21173.40000000,21079.79000000,21124.57000000,3347.78609000
1673928000000,21124.57000000,21230.00000000,21102.02000000,21209.55000000,4243.27043000
1673929800000,21211.59000000,21236.62000000,21143.59000000,21159.29000000,3828.49433000
1673931600000,21159.29000000,21185.87000000,21130.00000000,21137.80000000,3392.61446000
1673933400000,21136.60000000,21168.47000000,21133.16000000,21151.21000000,2354.77796000
1673935200000,21151.21000000,21156.28000000,21112.63000000,21122.92000000,2527.03436000
1673937000000,21123.38000000,21154.03000000,21063.52000000,21075.27000000,3335.83721000
1673938800000,21076.50000000,21177.14000000,21060.80000000,21100.27000000,4052.27929000
1673940600000,21101.08000000,21144.89000000,21061.22000000,21133.65000000,3986.19169000
1673942400000,21133.65000000,21212.51000000,21128.59000000,21204.11000000,4628.66486000
1673944200000,21204.86000000,21214.18000000,21167.02000000,21200.95000000,3342.26790000
1673946000000,21199.51000000,21249.46000000,21145.00000000,21169.13000000,4650.55139000
1673947800000,21167.16000000,21195.70000000,21147.75000000,21174.92000000,3309.18993000
1673949600000,21173.90000000,21181.88000000,21096.37000000,21122.71000000,4845.64202000
1673951400000,21123.74000000,21153.01000000,21082.48000000,21129.69000000,3473.98966000
1673953200000,21130.43000000,21189.91000000,21103.00000000,21184.97000000,4094.68492000
1673955000000,21184.22000000,21236.74000000,21157.41000000,21219.75000000,4421.91604000
1673956800000,21219.21000000,21352.00000000,21190.27000000,21292.97000000,8465.58690000
1673958600000,21291.51000000,21303.51000000,21205.16000000,21252.23000000,5124.44054000
1673960400000,21253.23000000,21271.18000000,21177.42000000,21244.91000000,5011.61357000
1673962200000,21244.91000000,21265.61000000,21208.15000000,21235.07000000,3853.07467000
1673964000000,21235.07000000,21647.45000000,21229.74000000,21279.22000000,18939.14053000
1673965800000,21279.22000000,21323.92000000,21056.00000000,21281.66000000,21917.75619000
1673967600000,21281.66000000,21389.48000000,21245.96000000,21270.51000000,10744.24084000
1673969400000,21270.51000000,21280.86000000,21030.00000000,21176.06000000,13048.65858000
1673971200000,21176.06000000,21207.09000000,21084.00000000,21159.24000000,7763.41731000
1673973000000,21160.00000000,21250.00000000,21138.92000000,21162.92000000,6575.55676000
1673974800000,21161.92000000,21203.99000000,21086.00000000,21127.77000000,5636.68799000
1673976600000,21128.65000000,21246.15000000,21119.57000000,21220.78000000,4444.59882000
1673978400000,21222.39000000,21292.97000000,21184.95000000,21269.64000000,4951.95932000
1673980200000,21268.78000000,21412.00000000,21265.24000000,21362.89000000,8003.38835000
1673982000000,21362.89000000,21374.99000000,21283.27000000,21338.93000000,5832.01082000
1673983800000,21338.40000000,21383.14000000,21318.31000000,21336.46000000,5450.91204000
1673985600000,21336.46000000,21398.48000000,21321.46000000,21370.78000000,4720.15692000
1673987400000,21370.78000000,21391.84000000,21263.22000000,21390.44000000,5621.74871000
1673989200000,21391.82000000,21413.15000000,21288.88000000,21329.98000000,4853.05023000
1673991000000,21329.98000000,21337.00000000,21274.56000000,21312.63000000,3807.02529000
1673992800000,21312.63000000,21339.99000000,21290.50000000,21307.15000000,2855.09772000
1673994600000,21307.15000000,21319.11000000,21206.63000000,21232.38000000,3225.28673000
1673996400000,21232.38000000,21275.00000000,21200.00000000,21215.81000000,4556.51262000
1673998200000,21216.90000000,21231.50000000,21121.71000000,21134.81000000,6063.65235000
1674000000000,21132.29000000,21185.96000000,21103.15000000,21160.57000000,5041.76653000
1674001800000,21160.57000000,21242.55000000,21158.00000000,21202.97000000,4315.98690000
1674003600000,21202.42000000,21264.98000000,21175.00000000,21187.69000000,4374.85325000
1674005400000,21187.70000000,21246.87000000,21182.58000000,21243.96000000,3710.82494000
1674007200000,21243.96000000,21251.96000000,21202.50000000,21204.25000000,3535.65151000
1674009000000,21204.25000000,21352.46000000,21152.00000000,21292.56000000,9278.84364000
1674010800000,21293.76000000,21377.44000000,21260.58000000,21329.31000000,5564.83947000
1674012600000,21329.31000000,21331.64000000,21255.69000000,21258.54000000,4478.43323000
1674014400000,21257.00000000,21295.73000000,21228.54000000,21294.75000000,3667.10749000
1674016200000,21294.75000000,21301.23000000,21254.28000000,21279.61000000,2889.82237000
1674018000000,21279.61000000,21320.00000000,21254.27000000,21290.36000000,3237.40186000
1674019800000,21290.37000000,21318.00000000,21267.08000000,21311.33000000,3337.17138000
1674021600000,21311.32000000,21316.24000000,21258.54000000,21280.91000000,3170.58056000
1674023400000,21280.23000000,21302.45000000,21244.88000000,21261.76000000,3217.98278000
1674025200000,21261.03000000,21291.00000000,21246.43000000,21267.26000000,3536.41639000
1674027000000,21266.25000000,21308.42000000,21261.64000000,21307.94000000,3640.94397000
1674028800000,21307.94000000,21316.77000000,21216.16000000,21233.02000000,5024.40388000
1674030600000,21233.73000000,21266.81000000,21210.00000000,21249.31000000,3672.52099000
1674032400000,21249.31000000,21282.00000000,21151.00000000,21252.80000000,5445.80200000
1674034200000,21252.80000000,21257.68000000,21178.00000000,21230.09000000,4594.70508000
